Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
275;25.02.2024 18:22:39 720;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
276;25.02.2024 18:22:39 734;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
277;25.02.2024 18:22:39 748;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
278;25.02.2024 18:22:39 762;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
279;25.02.2024 18:22:39 776;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
280;25.02.2024 18:22:39 790;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
281;25.02.2024 18:22:39 803;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
282;25.02.2024 18:22:39 817;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
283;25.02.2024 18:22:39 831;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
284;25.02.2024 18:22:39 845;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
285;25.02.2024 18:22:39 859;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
286;25.02.2024 18:22:39 872;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
287;25.02.2024 18:22:39 887;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
288;25.02.2024 18:22:39 900;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
289;25.02.2024 18:22:39 914;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
290;25.02.2024 18:22:39 928;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
291;25.02.2024 18:22:39 942;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
292;25.02.2024 18:22:39 956;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
293;25.02.2024 18:22:39 970;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
294;25.02.2024 18:22:39 984;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
295;25.02.2024 18:22:39 998;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
296;25.02.2024 18:22:40 11;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
297;25.02.2024 18:22:40 26;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
298;25.02.2024 18:22:40 39;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
299;25.02.2024 18:22:40 53;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
300;25.02.2024 18:22:40 67;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
301;25.02.2024 18:22:40 81;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
302;25.02.2024 18:22:40 95;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
303;25.02.2024 18:22:40 109;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
304;25.02.2024 18:22:40 123;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
305;25.02.2024 18:22:40 137;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
306;25.02.2024 18:22:40 151;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
307;25.02.2024 18:22:40 164;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
308;25.02.2024 18:22:40 178;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
309;25.02.2024 18:22:40 192;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
310;25.02.2024 18:22:40 206;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
311;25.02.2024 18:22:40 220;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
312;25.02.2024 18:22:40 233;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
313;25.02.2024 18:22:40 248;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
314;25.02.2024 18:22:40 261;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
315;25.02.2024 18:22:40 276;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
316;25.02.2024 18:22:40 289;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
317;25.02.2024 18:22:40 303;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
318;25.02.2024 18:22:40 317;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
319;25.02.2024 18:22:40 331;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
320;25.02.2024 18:22:40 345;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
321;25.02.2024 18:22:40 359;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
322;25.02.2024 18:22:40 375;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
323;25.02.2024 18:22:40 387;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
324;25.02.2024 18:22:40 402;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
325;25.02.2024 18:22:40 416;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
326;25.02.2024 18:22:40 430;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
327;25.02.2024 18:22:40 443;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
328;25.02.2024 18:22:40 458;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
329;25.02.2024 18:22:40 471;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
330;25.02.2024 18:22:40 484;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
331;25.02.2024 18:22:40 499;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
332;25.02.2024 18:22:40 514;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
333;25.02.2024 18:22:40 528;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
334;25.02.2024 18:22:40 541;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
335;25.02.2024 18:22:40 555;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
336;25.02.2024 18:22:40 567;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
337;25.02.2024 18:22:40 582;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
338;25.02.2024 18:22:40 595;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
339;25.02.2024 18:22:40 609;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
340;25.02.2024 18:22:40 623;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
341;25.02.2024 18:22:40 639;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
342;25.02.2024 18:22:40 652;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
343;25.02.2024 18:22:40 666;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
344;25.02.2024 18:22:40 679;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
345;25.02.2024 18:22:40 693;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
346;25.02.2024 18:22:40 707;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
347;25.02.2024 18:22:40 721;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
348;25.02.2024 18:22:40 734;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
349;25.02.2024 18:22:40 748;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
350;25.02.2024 18:22:40 762;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
351;25.02.2024 18:22:40 777;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
352;25.02.2024 18:22:40 791;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
353;25.02.2024 18:22:40 803;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
354;25.02.2024 18:22:40 818;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
355;25.02.2024 18:22:40 831;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
356;25.02.2024 18:22:40 845;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
357;25.02.2024 18:22:40 859;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
358;25.02.2024 18:22:40 873;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
359;25.02.2024 18:22:40 889;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
360;25.02.2024 18:22:40 901;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
361;25.02.2024 18:22:40 915;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
362;25.02.2024 18:22:40 928;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
363;25.02.2024 18:22:40 942;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
364;25.02.2024 18:22:40 956;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
365;25.02.2024 18:22:40 970;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
366;25.02.2024 18:22:40 984;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
